,run,N,cw_min,cw_max,p_coll_simulation,p_coll_model
0,1,1,15,1023,0.0,0.0
1,2,1,15,1023,0.0,0.0
2,3,1,15,1023,0.0,0.0
3,4,1,15,1023,0.0,0.0
4,5,1,15,1023,0.0,0.0
5,6,1,15,1023,0.0,0.0
6,7,1,15,1023,0.0,0.0
7,8,1,15,1023,0.0,0.0
8,9,1,15,1023,0.0,0.0
9,10,1,15,1023,0.0,0.0
10,1,2,15,1023,0.11446151904270052,0.103363272204039
11,2,2,15,1023,0.11161394471515025,0.103363272204039
12,3,2,15,1023,0.11107105300116121,0.103363272204039
13,4,2,15,1023,0.11427991680400379,0.103363272204039
14,5,2,15,1023,0.10660903832804032,0.103363272204039
15,6,2,15,1023,0.11160698715744577,0.103363272204039
16,7,2,15,1023,0.11017681750912198,0.103363272204039
17,8,2,15,1023,0.11357901554261227,0.103363272204039
18,9,2,15,1023,0.10964159968530482,0.103363272204039
19,10,2,15,1023,0.11357203066286314,0.103363272204039
20,1,3,15,1023,0.17763882909990047,0.175828551622275
21,2,3,15,1023,0.17660931702070404,0.175828551622275
22,3,3,15,1023,0.181048975105894,0.175828551622275
23,4,3,15,1023,0.1757838088011802,0.175828551622275
24,5,3,15,1023,0.17481687478771502,0.175828551622275
25,6,3,15,1023,0.18043432174819263,0.175828551622275
26,7,3,15,1023,0.1776735934292164,0.175828551622275
27,8,3,15,1023,0.18405748423049462,0.175828551622275
28,9,3,15,1023,0.180249303429702,0.175828551622275
29,10,3,15,1023,0.1826036907531369,0.175828551622275
30,1,4,15,1023,0.2330720821423714,0.23036398605542102
31,2,4,15,1023,0.23665769145639817,0.23036398605542102
32,3,4,15,1023,0.23599251745044875,0.23036398605542102
33,4,4,15,1023,0.2361782510454865,0.23036398605542102
34,5,4,15,1023,0.24150771897137444,0.23036398605542102
35,6,4,15,1023,0.23496976728046104,0.23036398605542102
36,7,4,15,1023,0.2374565614743988,0.23036398605542102
37,8,4,15,1023,0.23275409125518529,0.23036398605542102
38,9,4,15,1023,0.23051614228921008,0.23036398605542102
39,10,4,15,1023,0.22745710873288394,0.23036398605542102
40,1,5,15,1023,0.2633942966090329,0.268133820027369
41,2,5,15,1023,0.26988251123091156,0.268133820027369
42,3,5,15,1023,0.2700795389607196,0.268133820027369
43,4,5,15,1023,0.26957093094852846,0.268133820027369
44,5,5,15,1023,0.2786785690795989,0.268133820027369
45,6,5,15,1023,0.2751689338660145,0.268133820027369
46,7,5,15,1023,0.27674182947367015,0.268133820027369
47,8,5,15,1023,0.2776631620455162,0.268133820027369
48,9,5,15,1023,0.2740048536995724,0.268133820027369
49,10,5,15,1023,0.26614200292738177,0.268133820027369
50,1,6,15,1023,0.297570535608775,0.301236356733537
51,2,6,15,1023,0.30123492297027016,0.301236356733537
52,3,6,15,1023,0.2964857576790014,0.301236356733537
53,4,6,15,1023,0.3095845698816852,0.301236356733537
54,5,6,15,1023,0.2999883149028943,0.301236356733537
55,6,6,15,1023,0.2977680177530822,0.301236356733537
56,7,6,15,1023,0.29843690181013444,0.301236356733537
57,8,6,15,1023,0.29545289933559143,0.301236356733537
58,9,6,15,1023,0.2981667072218137,0.301236356733537
59,10,6,15,1023,0.30361060670022894,0.301236356733537
60,1,7,15,1023,0.32934247058247396,0.328344858753271
61,2,7,15,1023,0.3288405695234129,0.328344858753271
62,3,7,15,1023,0.3252630984089356,0.328344858753271
63,4,7,15,1023,0.3239127978401658,0.328344858753271
64,5,7,15,1023,0.3270241298419143,0.328344858753271
65,6,7,15,1023,0.32075524994749066,0.328344858753271
66,7,7,15,1023,0.3290474640158923,0.328344858753271
67,8,7,15,1023,0.3216931403759931,0.328344858753271
68,9,7,15,1023,0.32482255200526794,0.328344858753271
69,10,7,15,1023,0.32515705435866893,0.328344858753271
70,1,8,15,1023,0.34837164826607503,0.352647803438729
71,2,8,15,1023,0.3399605472587026,0.352647803438729
72,3,8,15,1023,0.33570988150299086,0.352647803438729
73,4,8,15,1023,0.3483672065920238,0.352647803438729
74,5,8,15,1023,0.34784748352671424,0.352647803438729
75,6,8,15,1023,0.3415518483507297,0.352647803438729
76,7,8,15,1023,0.3498829407817422,0.352647803438729
77,8,8,15,1023,0.35157266883305277,0.352647803438729
78,9,8,15,1023,0.34822769962454564,0.352647803438729
79,10,8,15,1023,0.34078432979193146,0.352647803438729
80,1,9,15,1023,0.37081928465370084,0.36751734250842993
81,2,9,15,1023,0.36086681450659897,0.36751734250842993
82,3,9,15,1023,0.3707532155478316,0.36751734250842993
83,4,9,15,1023,0.36906231955454377,0.36751734250842993
84,5,9,15,1023,0.3594130509765522,0.36751734250842993
85,6,9,15,1023,0.3744049429210954,0.36751734250842993
86,7,9,15,1023,0.36820636781826316,0.36751734250842993
87,8,9,15,1023,0.3658965905902605,0.36751734250842993
88,9,9,15,1023,0.3658993013575089,0.36751734250842993
89,10,9,15,1023,0.3692940491687029,0.36751734250842993
90,1,10,15,1023,0.39219544043885446,0.38155320261897707
91,2,10,15,1023,0.37627809297707576,0.38155320261897707
92,3,10,15,1023,0.3826781700150593,0.38155320261897707
93,4,10,15,1023,0.3850935156861337,0.38155320261897707
94,5,10,15,1023,0.3784011490507552,0.38155320261897707
95,6,10,15,1023,0.38531321150167525,0.38155320261897707
96,7,10,15,1023,0.38269935109610537,0.38155320261897707
97,8,10,15,1023,0.38541087826750003,0.38155320261897707
98,9,10,15,1023,0.38681953455196944,0.38155320261897707
99,10,10,15,1023,0.38889281551196253,0.38155320261897707
