payload,DCF-NumPy_thr
100.0,4381917.796851895
200.0,7775035.304679908
300.0,10480110.606655804
400.0,12687156.542411793
500.0,15012661.991832387
600.0,16721761.190192351
700.0,18750401.19088272
800.0,19883271.592475764
900.0,20863701.726114355
1000.0,22427425.27915229
1100.0,23162499.097253136
1200.0,23812902.346649718
1300.0,24918478.45462584
1400.0,25572510.817683637
1500.0,26537608.325639743
1600.0,27072884.93224163
1700.0,27418464.223992568
1800.0,27733137.399709303
1900.0,28633669.102242082
2000.0,28877638.511128556
2100.0,29101982.959274746
2200.0,29886765.901054688
2300.0,30060067.74328617
