run,mcs,DCF-NumPy_thr
1.0,0.0,4246435.898690277
2.0,0.0,4318545.824224073
3.0,0.0,4276753.968063108
4.0,0.0,4293161.861186569
5.0,0.0,4295646.635795508
6.0,0.0,4295620.62002925
7.0,0.0,4278538.436011483
8.0,0.0,4297708.349572744
9.0,0.0,4288630.649358406
10.0,0.0,4268433.082595369
1.0,1.0,6228892.753905221
2.0,1.0,6335338.672388909
3.0,1.0,6273891.536126172
4.0,1.0,6298329.948944187
5.0,1.0,6301802.826565383
6.0,1.0,6301371.973531156
7.0,1.0,6276607.047415594
8.0,1.0,6304740.193043132
9.0,1.0,6292327.924000363
10.0,1.0,6261608.4775415175
1.0,2.0,8115818.927015206
2.0,2.0,8254069.384582102
3.0,2.0,8174578.392632312
4.0,2.0,8206594.815366149
5.0,2.0,8210857.352997121
6.0,2.0,8209799.411389816
7.0,2.0,8178208.651052618
8.0,2.0,8214537.427710695
9.0,2.0,8199672.330308811
10.0,2.0,8158624.541070764
1.0,3.0,11612184.47985138
2.0,3.0,11810554.889712594
3.0,3.0,11697312.385225035
4.0,3.0,11743972.32869057
5.0,3.0,11749442.014915893
6.0,3.0,11746624.508211184
7.0,3.0,11702790.84871697
8.0,3.0,11754370.844805714
9.0,3.0,11736316.521873364
10.0,3.0,11674419.62439547
1.0,4.0,14800215.394959798
2.0,4.0,15053698.171617363
3.0,4.0,14909939.992117159
4.0,4.0,14970399.000173995
5.0,4.0,14976638.756534208
6.0,4.0,14971532.221979791
7.0,4.0,14917253.001063522
8.0,4.0,14982529.376280425
9.0,4.0,14963257.533001654
10.0,4.0,14880685.656356573
1.0,5.0,20401198.78952533
2.0,5.0,20752187.088457793
3.0,5.0,20555416.057191674
4.0,5.0,20641151.65132536
5.0,5.0,20647979.84629612
6.0,5.0,20637269.644876167
7.0,5.0,20566297.342312984
8.0,5.0,20655151.433027517
9.0,5.0,20637651.539041884
10.0,5.0,20514905.257060714
1.0,6.0,25475341.282356113
2.0,6.0,25915411.65845199
3.0,6.0,25671274.288738783
4.0,6.0,25781047.029244803
5.0,6.0,25787566.21131865
6.0,6.0,25770037.8127469
7.0,6.0,25685768.361764748
8.0,6.0,25795448.135354765
9.0,6.0,25783864.387845173
10.0,6.0,25620477.79984437
1.0,7.0,27529461.93555554
2.0,7.0,28005796.898820452
3.0,7.0,27742663.13069642
4.0,7.0,27862474.557326637
5.0,7.0,27868640.78505638
6.0,7.0,27847881.26216732
7.0,7.0,27758722.575079743
8.0,7.0,27876688.50472082
9.0,7.0,27868666.885878615
10.0,7.0,27687678.964930497
