payload,DCF-NumPy_thr,DCF-NumPy_thr_conf
100.0,4861210.44725262,18151.027372721022
200.0,8520315.973426085,31056.67153811323
300.0,11880915.76824072,44432.41137626814
400.0,14374655.713899523,51107.05717008318
500.0,16271248.912315551,57168.90285516427
600.0,18645007.66928309,65186.941472352235
700.0,19952973.79265828,69180.43973014365
800.0,21061065.399037473,72530.49551407827
900.0,22634646.779168792,79702.35224536002
1000.0,23619319.702415735,80693.49650062216
1100.0,24934552.13072633,86980.08810117362
1200.0,25700521.241294112,87265.81022849164
1300.0,26212873.860260103,88707.74326589255
1400.0,26668575.04842007,89989.5633667898
1500.0,27804867.55002324,93702.09039512828
1600.0,28144397.66798063,94623.8119019861
1700.0,28996904.156949747,99149.98672364652
1800.0,29254384.124848872,99759.48697441634
1900.0,30168123.1258559,102747.04608993343
2000.0,30508010.569154195,102006.0027080322
2100.0,30675364.926630415,102416.34991866749
2200.0,30829106.56226421,102794.93844060891
2300.0,30970831.4695733,103145.3578975204
