run,payload,DCF-NumPy_thr
1.0,100.0,4806665.008548693
2.0,100.0,4892793.979834135
3.0,100.0,4849465.044954402
4.0,100.0,4874898.276128614
5.0,100.0,4872634.232607141
6.0,100.0,4862113.16723251
7.0,100.0,4853775.999711495
8.0,100.0,4872255.282611488
9.0,100.0,4887987.557849852
10.0,100.0,4839515.923047872
1.0,200.0,8426953.196239024
2.0,200.0,8576916.188558757
3.0,200.0,8500036.396549331
4.0,200.0,8543041.485047959
5.0,200.0,8540244.666468823
6.0,200.0,8524215.680426925
7.0,200.0,8507065.74797172
8.0,200.0,8540205.925083697
9.0,200.0,8561764.352754626
10.0,200.0,8482716.095160013
1.0,300.0,11747524.563214436
2.0,300.0,11964781.087926665
3.0,300.0,11851715.672193432
4.0,300.0,11912569.563499825
5.0,300.0,11909825.606125053
6.0,300.0,11889216.552494384
7.0,300.0,11861354.42291039
8.0,300.0,11910479.889382988
9.0,300.0,11935061.262415523
10.0,300.0,11826629.062244508
1.0,400.0,14221333.620277708
2.0,400.0,14472470.730449189
3.0,400.0,14341013.86759913
4.0,400.0,14410627.489803009
5.0,400.0,14408099.688473519
6.0,400.0,14385570.926189143
7.0,400.0,14351888.07233433
8.0,400.0,14409204.542031866
9.0,400.0,14434335.291182002
10.0,400.0,14312012.910655346
1.0,500.0,16100113.279240137
2.0,500.0,16383309.032054095
3.0,500.0,16233497.116224999
4.0,500.0,16310600.89282948
5.0,500.0,16309002.065387134
6.0,500.0,16286103.946252294
7.0,500.0,16245238.233931221
8.0,500.0,16310927.314194117
9.0,500.0,16332900.5272652
10.0,500.0,16200796.71577684
1.0,600.0,18450102.523919746
2.0,600.0,18774079.297774453
3.0,600.0,18601911.048190996
4.0,600.0,18689423.717697036
5.0,600.0,18688217.0430767
6.0,600.0,18663268.32350906
7.0,600.0,18615083.714056775
8.0,600.0,18690757.403634045
9.0,600.0,18712730.62897578
10.0,600.0,18564502.991996296
1.0,700.0,19746639.74977944
2.0,700.0,20092343.431587737
3.0,700.0,19907158.500529826
4.0,700.0,19999236.529927336
5.0,700.0,19999117.523771707
6.0,700.0,19974837.29386616
7.0,700.0,19920727.836682606
8.0,700.0,20002462.72373569
9.0,700.0,20019970.183023132
10.0,700.0,19867244.153679185
1.0,800.0,20845279.19177735
2.0,800.0,21209286.698762614
3.0,800.0,21012977.775061518
4.0,800.0,21108762.20063603
5.0,800.0,21109684.781058338
6.0,800.0,21086219.447719667
7.0,800.0,21026829.05809828
8.0,800.0,21113776.13462952
9.0,800.0,21126886.465971462
10.0,800.0,20970952.236659948
1.0,900.0,22398133.974779505
2.0,900.0,22799522.821046945
3.0,900.0,22581751.574461255
4.0,900.0,22686270.64297244
5.0,900.0,22688284.28975012
6.0,900.0,22664401.490349907
7.0,900.0,22596610.070514034
8.0,900.0,22693337.80933684
9.0,900.0,22702738.30739449
10.0,900.0,22535416.81108237
1.0,1000.0,23380119.44191454
2.0,1000.0,23787094.542053893
3.0,1000.0,23565769.62297358
4.0,1000.0,23671227.53148193
5.0,1000.0,23673723.081422985
6.0,1000.0,23650423.549077634
7.0,1000.0,23580645.98446874
8.0,1000.0,23679092.5552799
9.0,1000.0,23686314.395735547
10.0,1000.0,23518786.319748573
1.0,1100.0,24677340.458929263
2.0,1100.0,25117144.726760954
3.0,1100.0,24876797.78758572
4.0,1100.0,24989778.371692777
5.0,1100.0,24993365.660659574
6.0,1100.0,24969967.30544108
7.0,1100.0,24892503.066641517
8.0,1100.0,24999652.83944445
9.0,1100.0,25002940.164627235
10.0,1100.0,24826030.925480764
1.0,1200.0,25442720.13877245
2.0,1200.0,25884450.629498355
3.0,1200.0,25642587.378831852
4.0,1200.0,25755601.646418124
5.0,1200.0,25759610.124819733
6.0,1200.0,25736928.008180443
7.0,1200.0,25658192.608433027
8.0,1200.0,25766144.234394353
9.0,1200.0,25767383.32720714
10.0,1200.0,25591594.316385653
1.0,1300.0,25951370.739157747
2.0,1300.0,26401265.78206204
3.0,1300.0,26153979.18588692
4.0,1300.0,26268238.805601176
5.0,1300.0,26273077.70338811
6.0,1300.0,26251493.769450672
7.0,1300.0,26169557.70086778
8.0,1300.0,26280143.48996831
9.0,1300.0,26277566.324366275
10.0,1300.0,26102045.101852015
1.0,1400.0,26403826.477846947
2.0,1400.0,26860962.138355397
3.0,1400.0,26608832.061598524
4.0,1400.0,26724166.275643513
5.0,1400.0,26729768.381323077
6.0,1400.0,26709212.271080308
7.0,1400.0,26624375.718582124
8.0,1400.0,26737320.249154605
9.0,1400.0,26731223.42065853
10.0,1400.0,26556063.489957698
1.0,1500.0,27529461.93555554
2.0,1500.0,28005796.898820452
3.0,1500.0,27742663.13069642
4.0,1500.0,27862474.557326637
5.0,1500.0,27868640.78505638
6.0,1500.0,27847881.26216732
7.0,1500.0,27758722.575079743
8.0,1500.0,27876688.50472082
9.0,1500.0,27868666.885878615
10.0,1500.0,27687678.964930497
1.0,1600.0,27866794.310877133
2.0,1600.0,28348425.583596777
3.0,1600.0,28081590.797071733
4.0,1600.0,28202048.473405797
5.0,1600.0,28208898.328159887
6.0,1600.0,28189142.444031253
7.0,1600.0,28097572.487415418
8.0,1600.0,28217369.752941485
9.0,1600.0,28206138.040266715
10.0,1600.0,28025996.462040093
1.0,1700.0,28706552.142923873
2.0,1700.0,29211775.972443216
3.0,1700.0,28931093.633045316
4.0,1700.0,29056806.656838354
5.0,1700.0,29064576.763191022
6.0,1700.0,29045022.346003305
7.0,1700.0,28947614.50560138
8.0,1700.0,29073781.667246893
9.0,1700.0,29059036.39653401
10.0,1700.0,28872781.4856701
1.0,1800.0,28962722.088694096
2.0,1800.0,29471529.858928442
3.0,1800.0,29188184.746570077
4.0,1800.0,29314193.222626477
5.0,1800.0,29322552.798048936
6.0,1800.0,29303932.613399077
7.0,1800.0,29204600.130192358
8.0,1800.0,29332113.362920757
9.0,1800.0,29314552.615227595
10.0,1800.0,29129459.811880883
1.0,1900.0,29867959.953138832
2.0,1900.0,30392226.872850496
3.0,1900.0,30099949.879151925
4.0,1900.0,30229500.168784022
5.0,1900.0,30238370.655077644
6.0,1900.0,30219700.6561291
7.0,1900.0,30116756.940540083
8.0,1900.0,30248361.315002795
9.0,1900.0,30228963.70477907
10.0,1900.0,30039441.11310505
1.0,2000.0,30210212.07022242
2.0,2000.0,30730898.847812567
3.0,2000.0,30440349.202273775
4.0,2000.0,30568737.462425716
5.0,2000.0,30577790.37094756
6.0,2000.0,30559740.020021524
7.0,2000.0,30456940.192244925
8.0,2000.0,30587844.145215534
9.0,2000.0,30567343.49387101
10.0,2000.0,30380249.88650689
1.0,2100.0,30376800.787467185
2.0,2100.0,30899956.136912167
3.0,2100.0,30607449.23321704
4.0,2100.0,30735933.48982619
5.0,2100.0,30745489.078822415
6.0,2100.0,30728276.304240834
7.0,2100.0,30623927.25736142
8.0,2100.0,30755840.40511938
9.0,2100.0,30732910.7098122
10.0,2100.0,30547065.863525316
1.0,2200.0,30529847.41308571
2.0,2200.0,31055266.779556967
3.0,2200.0,30760958.315767407
4.0,2200.0,30889524.924151555
5.0,2200.0,30899546.64757814
6.0,2200.0,30883112.37290344
7.0,2200.0,30777330.601013254
8.0,2200.0,30910173.656011626
9.0,2200.0,30884990.475724973
10.0,2200.0,30700314.436848976
1.0,2300.0,30670938.718792297
2.0,2300.0,31198441.953184363
3.0,2300.0,30902469.767803356
4.0,2300.0,31031107.340708643
5.0,2300.0,31041562.44789061
6.0,2300.0,31025853.503683634
7.0,2300.0,30918742.91478768
8.0,2300.0,31052445.5698225
9.0,2300.0,31025166.364659857
10.0,2300.0,30841586.114400063
